district,station,nb_event,quantile,pod,far,pofd,csi
baringo,KE_GVS4,40,Q50_pred,1.0,0.0,0.0,1.0
baringo,KE_GVS6,40,Q50_pred,1.0,0.0,0.0,1.0
baringo,KE_GVS4,40,Q80_pred,0.3333333333333333,0.9565217391304348,0.88,0.04
baringo,KE_GVS6,40,Q80_pred,0.3333333333333333,0.9583333333333334,0.8846153846153846,0.038461538461538464
baringo,KE_GVS4,40,Q90_pred,0.25,0.8571428571428571,0.6,0.1
baringo,KE_GVS6,40,Q90_pred,0.0,1.0,0.6,0.0
bomet,,3,,,,,
bungoma,F0031,22,Q50_pred,1.0,0.0,0.0,1.0
bungoma,KE_GVS20,22,Q50_pred,1.0,0.0,0.0,1.0
bungoma,F0031,22,Q80_pred,0.0,1.0,0.9375,0.0
bungoma,KE_GVS20,22,Q80_pred,0.0,1.0,0.9523809523809523,0.0
bungoma,F0031,22,Q90_pred,0.0,1.0,0.9090909090909091,0.0
bungoma,KE_GVS20,22,Q90_pred,0.0,1.0,0.9090909090909091,0.0
busia,F0031,36,Q50_pred,1.0,0.0,0.0,1.0
busia,F0031,36,Q80_pred,0.0,1.0,0.7894736842105263,0.0
busia,F0031,36,Q90_pred,0.0,1.0,0.7142857142857143,0.0
elgeyo-marakwet,KE_GVS6,18,Q50_pred,1.0,0.0,0.0,1.0
elgeyo-marakwet,KE_GVS6,18,Q80_pred,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333
elgeyo-marakwet,KE_GVS6,18,Q90_pred,0.5,0.8333333333333334,0.7142857142857143,0.14285714285714285
embu,G5299,7,Q50_pred,1.0,0.0,0.0,1.0
embu,G5299,7,Q80_pred,1.0,0.9285714285714286,0.9285714285714286,0.07142857142857142
embu,G5299,7,Q90_pred,1.0,0.875,0.875,0.125
garissa,G5208,44,Q50_pred,1.0,0.0,0.0,1.0
garissa,G5305,44,Q50_pred,1.0,0.0,0.0,1.0
garissa,KE_GVS12,44,Q50_pred,1.0,0.0,0.0,1.0
garissa,KE_GVS13,44,Q50_pred,1.0,0.0,0.0,1.0
garissa,G5208,44,Q80_pred,1.0,0.9230769230769231,0.9230769230769231,0.07692307692307693
garissa,G5305,44,Q80_pred,0.0,1.0,0.8888888888888888,0.0
garissa,KE_GVS12,44,Q80_pred,1.0,0.9583333333333334,0.9583333333333334,0.041666666666666664
garissa,KE_GVS13,44,Q80_pred,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666
garissa,G5208,44,Q90_pred,1.0,0.8571428571428571,0.8571428571428571,0.14285714285714285
garissa,G5305,44,Q90_pred,0.0,1.0,0.8,0.0
garissa,KE_GVS12,44,Q90_pred,1.0,0.9,0.9,0.1
garissa,KE_GVS13,44,Q90_pred,0.0,1.0,0.75,0.0
homa bay,,45,,,,,
isiolo,G5197,45,Q50_pred,1.0,0.0,0.0,1.0
isiolo,G5198,45,Q50_pred,1.0,0.0,0.0,1.0
isiolo,G5208,45,Q50_pred,1.0,0.0,0.0,1.0
isiolo,KE_GVS21,45,Q50_pred,1.0,0.0,0.0,1.0
isiolo,G5197,45,Q80_pred,0.0,1.0,0.875,0.0
isiolo,G5198,45,Q80_pred,0.0,1.0,0.8181818181818182,0.0
isiolo,G5208,45,Q80_pred,0.0,1.0,0.8666666666666667,0.0
isiolo,KE_GVS21,45,Q80_pred,0.0,1.0,0.8888888888888888,0.0
isiolo,G5197,45,Q90_pred,0.0,1.0,0.7777777777777778,0.0
isiolo,G5198,45,Q90_pred,0.0,1.0,0.7142857142857143,0.0
isiolo,G5208,45,Q90_pred,0.0,1.0,0.7777777777777778,0.0
isiolo,KE_GVS21,45,Q90_pred,0.0,1.0,0.7777777777777778,0.0
kajiado,KE_GVS23,45,Q50_pred,,1.0,1.0,0.0
kajiado,KE_GVS23,45,Q80_pred,,1.0,1.0,0.0
kajiado,KE_GVS23,45,Q90_pred,,1.0,1.0,0.0
kakamega,F0031,19,Q50_pred,1.0,0.0,0.0,1.0
kakamega,KE_GVS20,19,Q50_pred,1.0,0.0,0.0,1.0
kakamega,F0031,19,Q80_pred,0.0,1.0,0.8823529411764706,0.0
kakamega,KE_GVS20,19,Q80_pred,0.0,1.0,0.9090909090909091,0.0
kakamega,F0031,19,Q90_pred,0.0,1.0,0.8333333333333334,0.0
kakamega,KE_GVS20,19,Q90_pred,0.0,1.0,0.8333333333333334,0.0
kericho,KE_GVS19,5,Q50_pred,1.0,0.0,0.0,1.0
kericho,KE_GVS19,5,Q80_pred,0.0,1.0,0.9333333333333333,0.0
kericho,KE_GVS19,5,Q90_pred,0.0,1.0,0.8888888888888888,0.0
kiambu,G5299,26,Q50_pred,1.0,0.0,0.0,1.0
kiambu,G5299,26,Q80_pred,1.0,0.7857142857142857,0.7857142857142857,0.21428571428571427
kiambu,G5299,26,Q90_pred,0.3333333333333333,0.875,0.7,0.1
kilifi,G5305,49,Q50_pred,1.0,0.0,0.0,1.0
kilifi,G5326,49,Q50_pred,1.0,0.0,0.0,1.0
kilifi,G5332,49,Q50_pred,1.0,0.0,0.0,1.0
kilifi,G5305,49,Q80_pred,1.0,0.875,0.875,0.125
kilifi,G5326,49,Q80_pred,0.0,1.0,0.9565217391304348,0.0
kilifi,G5332,49,Q80_pred,0.0,1.0,0.8888888888888888,0.0
kilifi,G5305,49,Q90_pred,0.0,1.0,0.8,0.0
kilifi,G5326,49,Q90_pred,0.0,1.0,0.9090909090909091,0.0
kilifi,G5332,49,Q90_pred,0.0,1.0,0.8333333333333334,0.0
kirinyaga,G5299,16,Q50_pred,1.0,0.0,0.0,1.0
kirinyaga,G5299,16,Q80_pred,1.0,0.9285714285714286,0.9285714285714286,0.07142857142857142
kirinyaga,G5299,16,Q90_pred,1.0,0.875,0.875,0.125
kisii,,15,,,,,
kisumu,,76,,,,,
kitui,G5299,17,Q50_pred,1.0,0.0,0.0,1.0
kitui,KE_GVS23,17,Q50_pred,1.0,0.0,0.0,1.0
kitui,KE_GVS9,17,Q50_pred,1.0,0.0,0.0,1.0
kitui,G5299,17,Q80_pred,1.0,0.8571428571428571,0.8571428571428571,0.14285714285714285
kitui,KE_GVS23,17,Q80_pred,0.5,0.9090909090909091,0.8333333333333334,0.08333333333333333
