ID,Country,station,location,lon,lat,Q50,Q80,Q90
G5163,Uganda,G5163,Na,31.95,3.65,5867.683837890625,7081.370703125001,7241.36640625
G5179,Uganda,G5179,Na,31.45,2.25,3683.4224853515625,4363.681640625001,4683.529394531251
G5194,Uganda,G5194,Na,32.15,1.65,3634.8526611328125,4285.2900390625,4574.31748046875
G5195,Uganda,G5195,Na,32.05,1.55,93.6446762084961,136.78950500488284,150.54210510253907
G5196,Uganda,G5196,Uganda Gauge,33.85,1.75,23.915939331054688,82.61312713623049,107.15410308837892
G5200,Uganda,G5200,Magoro Ngariam,33.95,1.65,434.15269470214844,568.9262329101563,634.5661804199219
G5230,Uganda,G5230,Na,33.15,0.25,6850.067138671875,8768.6263671875,9263.97080078125
G6106,Uganda,G6106,Kapelebyong,34.05,2.45,47.901926040649414,106.77802734375003,131.86655807495126
F0030,Uganda,F0030,R.ManafaatButaleja,34.04999924,0.949999988,317.88018798828125,414.53741455078136,449.3530883789063
F0032,Uganda,F0032,R.MpologomaatBudumba,33.75,0.75,544.7339477539062,654.5498901367188,751.4253234863281
F0033,Uganda,F0033,R.KyogaNileatMasindiport,32.04999924,1.649999976,3712.4713134765625,4335.28046875,4667.348779296875
F0033,Uganda,F0033,R.KyogaNileatMasindiport,32.04999924,1.649999976,3712.4713134765625,4335.28046875,4667.348779296875
F0034,Uganda,F0034,R.Kapiri,33.65000153,1.5499999519999998,357.51629638671875,429.6324462890625,507.6134796142578
F0035,Uganda,F0035,R.RwiziatMbararawaterworks,30.64999962,-0.649999976,64.10481071472168,83.85437469482423,91.49881439208986
F0035,Uganda,F0035,R.RwiziatMbararawaterworks,30.64999962,-0.649999976,64.10481071472168,83.85437469482423,91.49881439208986
F0036,Uganda,F0036,R.Muzizi,30.64999962,0.050000000999999995,23.95662021636963,32.678121185302736,39.5412868499756
F0037,Uganda,F0037,R.Aswa-ii,32.54999924,2.950000048,92.54533767700195,184.80593261718752,288.5152770996094
F0038,Uganda,F0038,R.Mitano,29.75,-0.75,255.82744598388672,1028.9818603515625,1254.0822509765626
F0039,Uganda,F0039,R.Mayanja,32.15000153,0.649999976,59.00379943847656,76.03623504638672,86.95344772338868
F0041,Uganda,F0041,R.Nkusi,30.95000076,1.149999976,40.24362754821777,51.13110961914063,54.16587715148926
F0042,Uganda,F0042,R.PageratKitgum,33.75,3.150000095,88.34186172485352,160.31739807128906,230.91268920898438
UG_GVS1,Uganda,UG_GVS1,,32.75,0.85,74.35247039794922,93.7540481567383,114.97569274902345
UG_GVS2,Uganda,UG_GVS2,,32.95,1.26,2689.6556396484375,3315.9639160156253,3517.299975585938
UG_GVS3,Uganda,UG_GVS3,,33.35,1.34,1237.2499389648438,1600.2342285156253,1936.2849731445312
UG_GVS4,Uganda,UG_GVS4,,32.94,2.54,27.7448148727417,63.13832473754883,138.02039642333986
UG_GVS5,Uganda,UG_GVS5,,30.25,0.05,484.71484375,532.2715698242188,546.6930358886718
UG_GVS6,Uganda,UG_GVS6,,30.05,-0.15,381.25694274902344,429.8211364746094,443.8429809570313
UG_GVS7,Uganda,UG_GVS7,,30.25,1.05,3785.2823486328125,4038.2662597656254,4252.529541015625
