station,time,dis,max_dt_3days,district,flood,thres_discharge,predicted
G5171,2001-01-07,14.751921,432.22088623046875,turkana,0.0,0.0,1
G5171,2001-01-08,198.38791,432.22088623046875,turkana,0.0,0.0,1
G5171,2001-01-09,432.2209,432.22088623046875,turkana,0.0,0.0,1
G5171,2001-01-10,341.5173,432.22088623046875,turkana,0.0,0.0,1
G5171,2001-01-11,236.65535,432.22088623046875,turkana,0.0,0.0,1
G5171,2001-01-12,166.26357,432.22088623046875,turkana,0.0,0.0,1
G5171,2001-01-13,121.14662,341.5173034667969,turkana,0.0,0.0,1
G5171,2001-01-14,91.74331,236.6553497314453,turkana,0.0,0.0,1
G5171,2001-01-15,71.31441,166.26356506347656,turkana,0.0,0.0,1
G5171,2001-01-16,57.347855,121.14662170410156,turkana,0.0,0.0,1
G5171,2001-01-17,47.59996,91.7433090209961,turkana,0.0,0.0,1
G5171,2001-01-18,40.556797,71.31440734863281,turkana,0.0,0.0,1
G5171,2001-01-19,35.563007,57.34785461425781,turkana,0.0,0.0,1
G5171,2001-01-20,32.119324,47.59996032714844,turkana,0.0,0.0,1
G5171,2001-01-21,29.348034,40.55679702758789,turkana,0.0,0.0,1
G5171,2001-01-22,26.861187,35.56300735473633,turkana,0.0,0.0,1
G5171,2001-01-23,24.6308,32.11932373046875,turkana,0.0,0.0,1
G5171,2001-01-24,22.433939,171.83218383789062,turkana,0.0,0.0,1
G5171,2001-01-25,20.622328,794.70458984375,turkana,0.0,0.0,1
G5171,2001-01-26,19.517874,857.4173583984375,turkana,0.0,0.0,1
G5171,2001-01-27,171.83218,857.4173583984375,turkana,0.0,0.0,1
G5171,2001-01-28,794.7046,857.4173583984375,turkana,0.0,0.0,1
G5171,2001-01-29,857.41736,857.4173583984375,turkana,0.0,0.0,1
G5171,2001-01-30,614.1656,857.4173583984375,turkana,0.0,0.0,1
G5171,2001-01-31,399.45868,857.4173583984375,turkana,0.0,0.0,1
G5171,2001-02-01,267.47684,857.4173583984375,turkana,0.0,0.0,1
G5171,2001-02-02,190.30824,614.1655883789062,turkana,0.0,0.0,1
G5171,2001-02-03,143.70209,399.45867919921875,turkana,0.0,0.0,1
G5171,2001-02-04,113.49281,267.4768371582031,turkana,0.0,0.0,1
G5171,2001-02-05,91.734245,190.30824279785156,turkana,0.0,0.0,1
G5171,2001-02-06,75.08948,143.70208740234375,turkana,0.0,0.0,1
G5171,2001-02-07,62.721886,113.49281311035156,turkana,0.0,0.0,1
G5171,2001-02-08,53.67301,94.01248168945312,turkana,0.0,0.0,1
G5171,2001-02-09,46.236675,190.44650268554688,turkana,0.0,0.0,1
G5171,2001-02-10,43.689903,190.44650268554688,turkana,0.0,0.0,1
G5171,2001-02-11,94.01248,190.44650268554688,turkana,0.0,0.0,1
G5171,2001-02-12,190.4465,190.44650268554688,turkana,0.0,0.0,1
G5171,2001-02-13,189.68689,190.44650268554688,turkana,0.0,0.0,1
G5171,2001-02-14,149.62851,190.44650268554688,turkana,0.0,0.0,1
G5171,2001-02-15,114.507,190.44650268554688,turkana,0.0,0.0,1
G5171,2001-02-16,88.18541,189.6868896484375,turkana,0.0,0.0,1
G5171,2001-02-17,69.26047,149.62850952148438,turkana,0.0,0.0,1
G5171,2001-02-18,55.98565,114.50700378417969,turkana,0.0,0.0,1
