district,station,nb_event,quantile,pod,far,pofd,csi
marsabit,G5173,59,Q50_pred,0.03389830508474576,0.8181818181818182,0.1323529411764706,0.029411764705882353
marsabit,G5170,59,Q80_pred,0.0,1.0,0.078125,0.0
marsabit,G5171,59,Q80_pred,0.0,1.0,0.06349206349206349,0.0
marsabit,G5173,59,Q80_pred,0.01694915254237288,0.75,0.04838709677419355,0.016129032258064516
marsabit,G5170,59,Q90_pred,0.0,1.0,0.03278688524590164,0.0
marsabit,G5171,59,Q90_pred,0.0,1.0,0.03278688524590164,0.0
marsabit,G5173,59,Q90_pred,0.0,1.0,0.03278688524590164,0.0
meru,,38,,,,,
migori,,52,,,,,
mombasa,,28,,,,,
murang'a,,73,,,,,
nairobi,,80,,,,,
nakuru,,40,,,,,
nandi,,14,,,,,
narok,,64,,,,,
nyamira,,1,,,,,
nyandarua,,13,,,,,
nyeri,,13,,,,,
samburu,,20,,,,,
siaya,F0031,20,Q50_pred,0.0,1.0,0.4722222222222222,0.0
siaya,F0031,20,Q80_pred,0.0,1.0,0.20833333333333334,0.0
siaya,F0031,20,Q90_pred,0.0,1.0,0.09523809523809523,0.0
taita taveta,,36,,,,,
tana river,G5305,52,Q50_pred,0.0851063829787234,0.6923076923076923,0.16071428571428573,0.07142857142857142
tana river,G5326,52,Q50_pred,0.08695652173913043,0.6923076923076923,0.16363636363636364,0.07272727272727272
tana river,G5332,52,Q50_pred,0.14583333333333334,0.5625,0.15789473684210525,0.12280701754385964
tana river,G5305,52,Q80_pred,0.0392156862745098,0.6,0.05555555555555555,0.037037037037037035
tana river,G5326,52,Q80_pred,0.041666666666666664,0.5,0.04,0.04
tana river,G5332,52,Q80_pred,0.02,0.75,0.05660377358490566,0.018867924528301886
tana river,G5305,52,Q90_pred,0.0,1.0,0.037037037037037035,0.0
tana river,G5326,52,Q90_pred,0.041666666666666664,0.0,0.0,0.041666666666666664
tana river,G5332,52,Q90_pred,0.02,0.5,0.0196078431372549,0.0196078431372549
tharaka-nithi,G5299,9,Q50_pred,0.125,0.9090909090909091,0.5555555555555556,0.05555555555555555
tharaka-nithi,G5299,9,Q80_pred,0.0,1.0,0.3076923076923077,0.0
tharaka-nithi,G5299,9,Q90_pred,0.0,1.0,0.18181818181818182,0.0
trans nzoia,,27,,,,,
turkana,G5170,77,Q50_pred,0.025974025974025976,0.875,0.15384615384615385,0.02197802197802198
turkana,G5171,77,Q50_pred,0.025974025974025976,0.8461538461538461,0.125,0.022727272727272728
turkana,G5170,77,Q80_pred,0.012987012987012988,0.8,0.04938271604938271,0.012345679012345678
turkana,G5171,77,Q80_pred,0.025974025974025976,0.5,0.02531645569620253,0.02531645569620253
turkana,G5170,77,Q90_pred,0.012987012987012988,0.5,0.01282051282051282,0.01282051282051282
turkana,G5171,77,Q90_pred,0.0,1.0,0.02531645569620253,0.0
uasin gishu,,19,,,,,
vihiga,,3,,,,,
wajir,G5208,25,Q50_pred,0.05263157894736842,0.9166666666666666,0.36666666666666664,0.03333333333333333
wajir,G5210,25,Q50_pred,0.045454545454545456,0.9166666666666666,0.3333333333333333,0.030303030303030304
wajir,G5208,25,Q80_pred,0.05263157894736842,0.75,0.13636363636363635,0.045454545454545456
wajir,G5210,25,Q80_pred,0.0,1.0,0.14285714285714285,0.0
wajir,G5208,25,Q90_pred,0.045454545454545456,0.5,0.043478260869565216,0.043478260869565216
wajir,G5210,25,Q90_pred,0.0,1.0,0.07692307692307693,0.0
west pokot,,29,,,,,
