district,station,nb_event,quantile,pod,far,pofd,csi
amuru,F0037,1,Q50_pred,0.0,1.0,0.96,0.0
amuru,G5163,1,Q50_pred,0.0,1.0,0.9523809523809523,0.0
amuru,F0037,1,Q80_pred,0.0,1.0,0.875,0.0
amuru,G5163,1,Q80_pred,0.0,1.0,0.9090909090909091,0.0
amuru,F0037,1,Q90_pred,0.0,1.0,0.8,0.0
amuru,G5163,1,Q90_pred,0.0,1.0,0.8,0.0
bududa,,11,,,,,
bukwo,,2,,,,,
bulambuli,G5200,11,Q50_pred,0.09090909090909091,0.9615384615384616,0.6857142857142857,0.02857142857142857
bulambuli,G5200,11,Q80_pred,0.0,1.0,0.42105263157894735,0.0
bulambuli,G5200,11,Q90_pred,0.0,1.0,0.26666666666666666,0.0
butaleja,F0030,25,Q50_pred,0.08333333333333333,0.9310344827586207,0.5102040816326531,0.04081632653061224
butaleja,F0032,25,Q50_pred,0.12,0.9032258064516129,0.5,0.06
butaleja,F0030,25,Q80_pred,0.04,0.9,0.24242424242424243,0.030303030303030304
butaleja,F0032,25,Q80_pred,0.04,0.9090909090909091,0.2647058823529412,0.029411764705882353
butaleja,F0030,25,Q90_pred,0.04,0.8,0.10714285714285714,0.03571428571428571
butaleja,F0032,25,Q90_pred,0.04,0.8333333333333334,0.13793103448275862,0.034482758620689655
buyende,UG_GVS2,3,Q50_pred,0.6666666666666666,0.8666666666666667,0.7857142857142857,0.14285714285714285
buyende,UG_GVS3,3,Q50_pred,0.3333333333333333,0.9565217391304348,0.875,0.041666666666666664
buyende,UG_GVS2,3,Q80_pred,0.6666666666666666,0.8,0.6666666666666666,0.2222222222222222
buyende,UG_GVS3,3,Q80_pred,0.0,1.0,0.7272727272727273,0.0
buyende,UG_GVS2,3,Q90_pred,0.0,1.0,0.5714285714285714,0.0
buyende,UG_GVS3,3,Q90_pred,0.0,1.0,0.5714285714285714,0.0
gulu,F0037,23,Q50_pred,0.17391304347826086,0.8571428571428571,0.46511627906976744,0.09302325581395349
gulu,F0042,23,Q50_pred,0.09090909090909091,0.9565217391304348,0.65625,0.03125
gulu,F0037,23,Q80_pred,0.043478260869565216,0.875,0.20689655172413793,0.034482758620689655
gulu,F0042,23,Q80_pred,0.0,1.0,0.28125,0.0
gulu,F0037,23,Q90_pred,0.0,1.0,0.14814814814814814,0.0
gulu,F0042,23,Q90_pred,0.0,1.0,0.14814814814814814,0.0
kaabong,F0042,7,Q50_pred,0.2857142857142857,0.9565217391304348,0.8571428571428571,0.04081632653061224
kaabong,F0042,7,Q80_pred,0.0,1.0,0.5625,0.0
kaabong,F0042,7,Q90_pred,0.0,1.0,0.36363636363636365,0.0
kabale,,38,,,,,
kampala,,510,,,,,
