district,station,nb_event,quantile,pod,far,pofd,csi
amuru,F0037,1,Q50_pred,0.0,1.0,0.9375,0.0
amuru,F0037,1,Q80_pred,0.0,1.0,0.8,0.0
amuru,F0037,1,Q90_pred,0.0,1.0,0.6666666666666666,0.0
bududa,,11,,,,,
bukwo,,2,,,,,
bulambuli,,11,,,,,
butaleja,F0032,25,Q50_pred,0.04,0.9375,0.375,0.025
butaleja,F0032,25,Q80_pred,0.04,0.8333333333333334,0.16666666666666666,0.03333333333333333
butaleja,F0032,25,Q90_pred,0.04,0.5,0.038461538461538464,0.038461538461538464
buyende,,3,,,,,
gulu,F0037,23,Q50_pred,0.043478260869565216,0.9333333333333333,0.3783783783783784,0.02702702702702703
gulu,F0042,23,Q50_pred,0.0,1.0,0.34285714285714286,0.0
gulu,F0037,23,Q80_pred,0.0,1.0,0.14814814814814814,0.0
gulu,F0042,23,Q80_pred,0.0,1.0,0.14814814814814814,0.0
gulu,F0037,23,Q90_pred,0.0,1.0,0.08,0.0
gulu,F0042,23,Q90_pred,0.0,1.0,0.08,0.0
kaabong,F0042,7,Q50_pred,0.0,1.0,0.631578947368421,0.0
kaabong,F0042,7,Q80_pred,0.0,1.0,0.36363636363636365,0.0
kaabong,F0042,7,Q90_pred,0.0,1.0,0.2222222222222222,0.0
kabale,,38,,,,,
kampala,,510,,,,,
kamuli,,6,,,,,
kasese,,33,,,,,
katakwi,F0034,50,Q50_pred,0.06382978723404255,0.7,0.12962962962962962,0.05555555555555555
katakwi,G5196,50,Q50_pred,0.08163265306122448,0.75,0.19672131147540983,0.06557377049180328
katakwi,G5200,50,Q50_pred,0.08,0.6923076923076923,0.15254237288135594,0.06779661016949153
katakwi,G6106,50,Q50_pred,0.02,0.9,0.15254237288135594,0.01694915254237288
katakwi,F0034,50,Q80_pred,0.04,0.3333333333333333,0.0196078431372549,0.0392156862745098
katakwi,G5196,50,Q80_pred,0.04,0.5,0.038461538461538464,0.038461538461538464
katakwi,G5200,50,Q80_pred,0.02,0.6666666666666666,0.038461538461538464,0.019230769230769232
katakwi,G6106,50,Q80_pred,0.0,1.0,0.07407407407407407,0.0
katakwi,F0034,50,Q90_pred,0.02,0.0,0.0,0.02
katakwi,G5196,50,Q90_pred,0.02,0.5,0.0196078431372549,0.0196078431372549
katakwi,G5200,50,Q90_pred,0.0,1.0,0.038461538461538464,0.0
katakwi,G6106,50,Q90_pred,0.0,1.0,0.038461538461538464,0.0
lira,,37,,,,,
mbarara,F0035,50,Q50_pred,0.0,1.0,0.0196078431372549,0.0
mbarara,F0035,50,Q80_pred,0.0,,0.0,0.0
mbarara,F0035,50,Q90_pred,0.0,,0.0,0.0
mukono,,18,,,,,
nakaseke,F0033,2,Q50_pred,0.0,1.0,0.2,0.0
nakaseke,F0039,2,Q50_pred,0.0,1.0,0.8947368421052632,0.0
nakaseke,F0033,2,Q80_pred,0.0,1.0,0.2,0.0
nakaseke,F0039,2,Q80_pred,0.0,1.0,0.6666666666666666,0.0
nakaseke,F0033,2,Q90_pred,0.0,,0.0,0.0
nakaseke,F0039,2,Q90_pred,0.0,1.0,0.5,0.0
ntoroko,F0041,10,Q50_pred,0.0,1.0,0.5454545454545454,0.0
ntoroko,F0041,10,Q80_pred,0.0,1.0,0.2857142857142857,0.0
ntoroko,F0041,10,Q90_pred,0.0,1.0,0.16666666666666666,0.0
pallisa,F0030,16,Q50_pred,0.0,1.0,0.4074074074074074,0.0
pallisa,F0032,16,Q50_pred,0.0625,0.9375,0.4838709677419355,0.03225806451612903
pallisa,F0034,16,Q50_pred,0.0,1.0,0.38461538461538464,0.0
pallisa,F0030,16,Q80_pred,0.0,1.0,0.2,0.0
pallisa,F0032,16,Q80_pred,0.0,1.0,0.2727272727272727,0.0
pallisa,F0034,16,Q80_pred,0.0,1.0,0.15789473684210525,0.0
pallisa,F0030,16,Q90_pred,0.0,1.0,0.1111111111111111,0.0
pallisa,F0032,16,Q90_pred,0.0,1.0,0.1111111111111111,0.0
pallisa,F0034,16,Q90_pred,0.0,1.0,0.058823529411764705,0.0
rubanda,,1,,,,,
tororo,F0032,35,Q50_pred,0.08823529411764706,0.8125,0.2765957446808511,0.06382978723404255
tororo,F0032,35,Q80_pred,0.029411764705882353,0.8333333333333334,0.1282051282051282,0.02564102564102564
tororo,F0032,35,Q90_pred,0.029411764705882353,0.5,0.02857142857142857,0.02857142857142857
wakiso,F0039,58,Q50_pred,0.0,1.0,0.22666666666666666,0.0
wakiso,F0039,58,Q80_pred,0.0,1.0,0.06451612903225806,0.0
wakiso,F0039,58,Q90_pred,0.0,1.0,0.03333333333333333,0.0
