,station,time,dis
0,F0031,2000-01-01,112.568054
1,F0031,2000-01-02,113.274284
2,F0031,2000-01-03,111.109276
3,F0031,2000-01-04,107.09557
4,F0031,2000-01-05,102.499626
5,F0031,2000-01-06,98.100945
6,F0031,2000-01-07,94.22581
7,F0031,2000-01-08,90.88372
8,F0031,2000-01-09,88.00398
9,F0031,2000-01-10,85.566246
10,F0031,2000-01-11,83.53573
11,F0031,2000-01-12,81.736664
12,F0031,2000-01-13,80.04697
13,F0031,2000-01-14,78.49324
14,F0031,2000-01-15,77.0807
15,F0031,2000-01-16,75.86252
16,F0031,2000-01-17,74.800766
17,F0031,2000-01-18,73.81356
18,F0031,2000-01-19,72.917496
19,F0031,2000-01-20,72.09116
20,F0031,2000-01-21,71.30743
21,F0031,2000-01-22,70.53832
22,F0031,2000-01-23,69.77695
23,F0031,2000-01-24,69.045494
24,F0031,2000-01-25,68.362236
25,F0031,2000-01-26,67.690636
26,F0031,2000-01-27,67.03177
27,F0031,2000-01-28,66.37866
28,F0031,2000-01-29,65.73551
29,F0031,2000-01-30,65.12414
30,F0031,2000-01-31,64.56193
31,F0031,2000-02-01,64.082405
32,F0031,2000-02-02,63.681
33,F0031,2000-02-03,63.355343
34,F0031,2000-02-04,63.09287
35,F0031,2000-02-05,62.852375
36,F0031,2000-02-06,62.62317
37,F0031,2000-02-07,62.37128
38,F0031,2000-02-08,62.105965
39,F0031,2000-02-09,61.890972
40,F0031,2000-02-10,61.70837
41,F0031,2000-02-11,61.54291
42,F0031,2000-02-12,61.363247
43,F0031,2000-02-13,61.1451
44,F0031,2000-02-14,60.91108
45,F0031,2000-02-15,60.684387
46,F0031,2000-02-16,60.45302
47,F0031,2000-02-17,60.222225
48,F0031,2000-02-18,59.996037
49,F0031,2000-02-19,59.767017
50,F0031,2000-02-20,59.549187
51,F0031,2000-02-21,59.30114
52,F0031,2000-02-22,59.025604
53,F0031,2000-02-23,58.761723
54,F0031,2000-02-24,58.530994
55,F0031,2000-02-25,58.30578
56,F0031,2000-02-26,58.094982
57,F0031,2000-02-27,57.925167
58,F0031,2000-02-28,57.729836
59,F0031,2000-02-29,57.5326
60,F0031,2000-03-01,57.308712
61,F0031,2000-03-02,57.375042
62,F0031,2000-03-03,61.268814
63,F0031,2000-03-04,127.04146
64,F0031,2000-03-05,291.6925
65,F0031,2000-03-06,334.36127
66,F0031,2000-03-07,278.38483
67,F0031,2000-03-08,217.04881
68,F0031,2000-03-09,171.89824
69,F0031,2000-03-10,141.08977
70,F0031,2000-03-11,119.09797
71,F0031,2000-03-12,103.306496
72,F0031,2000-03-13,93.01921
73,F0031,2000-03-14,87.841736
74,F0031,2000-03-15,83.77746
75,F0031,2000-03-16,80.53505
76,F0031,2000-03-17,78.81453
77,F0031,2000-03-18,76.69594
78,F0031,2000-03-19,73.72123
79,F0031,2000-03-20,70.441124
80,F0031,2000-03-21,67.36329
81,F0031,2000-03-22,64.64599
82,F0031,2000-03-23,62.29597
83,F0031,2000-03-24,60.334763
84,F0031,2000-03-25,58.79278
85,F0031,2000-03-26,57.74945
86,F0031,2000-03-27,57.285122
87,F0031,2000-03-28,56.807095
88,F0031,2000-03-29,56.129234
89,F0031,2000-03-30,55.437256
90,F0031,2000-03-31,54.95912
91,F0031,2000-04-01,54.712166
92,F0031,2000-04-02,55.17819
93,F0031,2000-04-03,56.102356
94,F0031,2000-04-04,56.71845
95,F0031,2000-04-05,57.0538
96,F0031,2000-04-06,56.62298
97,F0031,2000-04-07,55.88291
98,F0031,2000-04-08,55.47728
99,F0031,2000-04-09,56.279858
100,F0031,2000-04-10,59.25124
101,F0031,2000-04-11,71.143105
102,F0031,2000-04-12,105.042595
103,F0031,2000-04-13,129.92499
104,F0031,2000-04-14,132.56865
105,F0031,2000-04-15,126.2391
106,F0031,2000-04-16,121.6238
107,F0031,2000-04-17,117.208725
108,F0031,2000-04-18,108.59123
109,F0031,2000-04-19,98.89839
110,F0031,2000-04-20,91.2637
111,F0031,2000-04-21,85.90133
112,F0031,2000-04-22,81.75101
113,F0031,2000-04-23,78.15869
114,F0031,2000-04-24,76.106476
115,F0031,2000-04-25,73.60207
116,F0031,2000-04-26,71.92816
117,F0031,2000-04-27,72.96583
118,F0031,2000-04-28,79.56426
119,F0031,2000-04-29,91.749
120,F0031,2000-04-30,107.8286
121,F0031,2000-05-01,128.19328
122,F0031,2000-05-02,148.28656
123,F0031,2000-05-03,164.54546
124,F0031,2000-05-04,176.14078
125,F0031,2000-05-05,183.39673
126,F0031,2000-05-06,187.66895
127,F0031,2000-05-07,192.50427
128,F0031,2000-05-08,201.92172
129,F0031,2000-05-09,226.12468
130,F0031,2000-05-10,260.41876
131,F0031,2000-05-11,279.99756
132,F0031,2000-05-12,312.97812
133,F0031,2000-05-13,419.7988
134,F0031,2000-05-14,552.2084
135,F0031,2000-05-15,583.36707
136,F0031,2000-05-16,536.83044
137,F0031,2000-05-17,486.2358
138,F0031,2000-05-18,441.08557
139,F0031,2000-05-19,383.42752
140,F0031,2000-05-20,328.03436
141,F0031,2000-05-21,281.9899
142,F0031,2000-05-22,243.94827
143,F0031,2000-05-23,212.28845
144,F0031,2000-05-24,186.72865
145,F0031,2000-05-25,166.80974
146,F0031,2000-05-26,151.63776
147,F0031,2000-05-27,140.11304
148,F0031,2000-05-28,131.2184
149,F0031,2000-05-29,124.37376
150,F0031,2000-05-30,119.24556
151,F0031,2000-05-31,115.83265
152,F0031,2000-06-01,113.81681
153,F0031,2000-06-02,111.95644
154,F0031,2000-06-03,109.77321
155,F0031,2000-06-04,107.36613
156,F0031,2000-06-05,104.849525
157,F0031,2000-06-06,102.25628
158,F0031,2000-06-07,99.63152
159,F0031,2000-06-08,97.50593
160,F0031,2000-06-09,96.83726
161,F0031,2000-06-10,103.64576
162,F0031,2000-06-11,340.20447
163,F0031,2000-06-12,895.2411
164,F0031,2000-06-13,856.3433
165,F0031,2000-06-14,636.70374
166,F0031,2000-06-15,479.71677
167,F0031,2000-06-16,390.7583
168,F0031,2000-06-17,345.08612
169,F0031,2000-06-18,313.7533
170,F0031,2000-06-19,277.26846
171,F0031,2000-06-20,237.70023
172,F0031,2000-06-21,202.58139
173,F0031,2000-06-22,175.12294
174,F0031,2000-06-23,155.10023
175,F0031,2000-06-24,142.09259
176,F0031,2000-06-25,164.7894
177,F0031,2000-06-26,397.61328
178,F0031,2000-06-27,585.822
179,F0031,2000-06-28,519.906
180,F0031,2000-06-29,431.30978
181,F0031,2000-06-30,389.94327
182,F0031,2000-07-01,397.07138
183,F0031,2000-07-02,445.43512
184,F0031,2000-07-03,548.9733
185,F0031,2000-07-04,728.20844
186,F0031,2000-07-05,700.89
187,F0031,2000-07-06,574.43884
188,F0031,2000-07-07,488.49442
189,F0031,2000-07-08,450.75134
190,F0031,2000-07-09,428.56454
191,F0031,2000-07-10,433.66995
192,F0031,2000-07-11,525.29315
193,F0031,2000-07-12,547.26886
194,F0031,2000-07-13,478.65292
195,F0031,2000-07-14,430.90436
196,F0031,2000-07-15,420.9498
197,F0031,2000-07-16,416.59366
198,F0031,2000-07-17,407.40622
199,F0031,2000-07-18,402.2083
200,F0031,2000-07-19,406.49323
201,F0031,2000-07-20,400.7627
202,F0031,2000-07-21,373.55606
203,F0031,2000-07-22,345.53314
204,F0031,2000-07-23,332.10736
205,F0031,2000-07-24,324.77615
206,F0031,2000-07-25,312.45645
207,F0031,2000-07-26,300.16022
208,F0031,2000-07-27,300.7149
209,F0031,2000-07-28,315.18665
210,F0031,2000-07-29,347.54227
211,F0031,2000-07-30,395.74808
212,F0031,2000-07-31,437.2019
213,F0031,2000-08-01,449.9289
214,F0031,2000-08-02,420.03354
215,F0031,2000-08-03,363.07996
216,F0031,2000-08-04,310.5353
217,F0031,2000-08-05,283.91342
218,F0031,2000-08-06,279.61093
219,F0031,2000-08-07,283.43118
220,F0031,2000-08-08,286.3334
221,F0031,2000-08-09,286.1475
222,F0031,2000-08-10,290.5479
223,F0031,2000-08-11,375.13492
224,F0031,2000-08-12,653.0552
225,F0031,2000-08-13,693.52155
226,F0031,2000-08-14,545.359
227,F0031,2000-08-15,424.34933
228,F0031,2000-08-16,362.7109
229,F0031,2000-08-17,338.947
230,F0031,2000-08-18,342.09125
231,F0031,2000-08-19,385.53586
232,F0031,2000-08-20,464.57184
233,F0031,2000-08-21,600.17633
234,F0031,2000-08-22,960.75854
235,F0031,2000-08-23,1164.7399
236,F0031,2000-08-24,1018.0718
237,F0031,2000-08-25,839.94556
238,F0031,2000-08-26,708.8155
239,F0031,2000-08-27,663.764
240,F0031,2000-08-28,878.5484
241,F0031,2000-08-29,1228.4292
242,F0031,2000-08-30,1107.2896
243,F0031,2000-08-31,1001.539
244,F0031,2000-09-01,1083.4736
245,F0031,2000-09-02,1255.4406
246,F0031,2000-09-03,1372.3391
247,F0031,2000-09-04,1095.0471
248,F0031,2000-09-05,820.08105
249,F0031,2000-09-06,662.35095
250,F0031,2000-09-07,578.68365
251,F0031,2000-09-08,550.38446
252,F0031,2000-09-09,559.9519
253,F0031,2000-09-10,788.40466
254,F0031,2000-09-11,1156.098
255,F0031,2000-09-12,989.93665
256,F0031,2000-09-13,731.01074
257,F0031,2000-09-14,561.7224
258,F0031,2000-09-15,461.34875
259,F0031,2000-09-16,401.6687
260,F0031,2000-09-17,373.88525
261,F0031,2000-09-18,384.63052
262,F0031,2000-09-19,406.22772
263,F0031,2000-09-20,399.54858
264,F0031,2000-09-21,371.1454
265,F0031,2000-09-22,351.18033
266,F0031,2000-09-23,406.7718
267,F0031,2000-09-24,563.2843
268,F0031,2000-09-25,695.4111
269,F0031,2000-09-26,732.3691
270,F0031,2000-09-27,672.1813
271,F0031,2000-09-28,564.6091
272,F0031,2000-09-29,555.8938
273,F0031,2000-09-30,797.1033
274,F0031,2000-10-01,902.44434
275,F0031,2000-10-02,881.748
276,F0031,2000-10-03,818.8137
277,F0031,2000-10-04,747.09424
278,F0031,2000-10-05,661.98553
279,F0031,2000-10-06,580.93604
280,F0031,2000-10-07,534.83563
281,F0031,2000-10-08,546.40106
282,F0031,2000-10-09,543.4646
283,F0031,2000-10-10,501.42798
284,F0031,2000-10-11,463.43314
285,F0031,2000-10-12,460.0411
286,F0031,2000-10-13,474.7362
287,F0031,2000-10-14,466.10358
288,F0031,2000-10-15,432.5623
289,F0031,2000-10-16,395.38644
290,F0031,2000-10-17,367.04855
291,F0031,2000-10-18,347.2094
292,F0031,2000-10-19,349.12125
293,F0031,2000-10-20,480.95648
294,F0031,2000-10-21,922.90546
295,F0031,2000-10-22,1002.04645
296,F0031,2000-10-23,828.0217
297,F0031,2000-10-24,697.37115
298,F0031,2000-10-25,633.67737
299,F0031,2000-10-26,586.9038
300,F0031,2000-10-27,512.1537
301,F0031,2000-10-28,432.45547
302,F0031,2000-10-29,368.51376
303,F0031,2000-10-30,322.52887
304,F0031,2000-10-31,290.50272
305,F0031,2000-11-01,269.79453
306,F0031,2000-11-02,263.46146
307,F0031,2000-11-03,276.78812
308,F0031,2000-11-04,295.8949
309,F0031,2000-11-05,303.41013
310,F0031,2000-11-06,299.1909
311,F0031,2000-11-07,279.53113
312,F0031,2000-11-08,259.13913
313,F0031,2000-11-09,246.06305
314,F0031,2000-11-10,238.89621
315,F0031,2000-11-11,231.83191
316,F0031,2000-11-12,220.534
317,F0031,2000-11-13,206.63379
318,F0031,2000-11-14,193.08383
319,F0031,2000-11-15,181.20699
320,F0031,2000-11-16,171.44041
321,F0031,2000-11-17,164.18051
322,F0031,2000-11-18,195.639
323,F0031,2000-11-19,222.31195
324,F0031,2000-11-20,205.78381
325,F0031,2000-11-21,196.44537
326,F0031,2000-11-22,209.59888
327,F0031,2000-11-23,235.90073
328,F0031,2000-11-24,256.73294
329,F0031,2000-11-25,260.99747
330,F0031,2000-11-26,261.60083
331,F0031,2000-11-27,257.05478
332,F0031,2000-11-28,245.89247
333,F0031,2000-11-29,231.07855
334,F0031,2000-11-30,216.29805
335,F0031,2000-12-01,201.10684
336,F0031,2000-12-02,190.6572
337,F0031,2000-12-03,190.45006
338,F0031,2000-12-04,193.45901
339,F0031,2000-12-05,193.03265
340,F0031,2000-12-06,189.34444
341,F0031,2000-12-07,188.87926
342,F0031,2000-12-08,183.01498
343,F0031,2000-12-09,171.2038
344,F0031,2000-12-10,163.45146
345,F0031,2000-12-11,163.91913
346,F0031,2000-12-12,168.9562
347,F0031,2000-12-13,178.3615
348,F0031,2000-12-14,188.65894
349,F0031,2000-12-15,203.58562
350,F0031,2000-12-16,215.03331
351,F0031,2000-12-17,213.42764
352,F0031,2000-12-18,208.39423
353,F0031,2000-12-19,208.66743
354,F0031,2000-12-20,200.02574
355,F0031,2000-12-21,185.38008
356,F0031,2000-12-22,171.96268
357,F0031,2000-12-23,165.60152
358,F0031,2000-12-24,190.39545
359,F0031,2000-12-25,206.9273
360,F0031,2000-12-26,190.28873
361,F0031,2000-12-27,172.30054
362,F0031,2000-12-28,159.18315
363,F0031,2000-12-29,151.39542
364,F0031,2000-12-30,148.73434
365,F0031,2000-12-31,146.52747
366,F0031,2001-01-01,146.68553
367,F0031,2001-01-02,143.91824
368,F0031,2001-01-03,142.39062
369,F0031,2001-01-04,141.25966
370,F0031,2001-01-05,140.21686
371,F0031,2001-01-06,171.15634
372,F0031,2001-01-07,668.6849
373,F0031,2001-01-08,1170.933
374,F0031,2001-01-09,911.5786
375,F0031,2001-01-10,621.5923
376,F0031,2001-01-11,439.98145
377,F0031,2001-01-12,330.99908
378,F0031,2001-01-13,266.5088
379,F0031,2001-01-14,236.10754
380,F0031,2001-01-15,224.29837
381,F0031,2001-01-16,210.63895
382,F0031,2001-01-17,194.6587
383,F0031,2001-01-18,178.63652
384,F0031,2001-01-19,164.67464
385,F0031,2001-01-20,155.20058
386,F0031,2001-01-21,147.96758
387,F0031,2001-01-22,142.19429
388,F0031,2001-01-23,146.30069
389,F0031,2001-01-24,166.42232
390,F0031,2001-01-25,202.42705
391,F0031,2001-01-26,507.55658
392,F0031,2001-01-27,1568.5731
393,F0031,2001-01-28,1995.499
394,F0031,2001-01-29,1601.4264
395,F0031,2001-01-30,1041.7897
396,F0031,2001-01-31,692.35016
397,F0031,2001-02-01,503.98987
398,F0031,2001-02-02,399.11923
399,F0031,2001-02-03,333.41818
400,F0031,2001-02-04,287.82443
401,F0031,2001-02-05,254.81355
402,F0031,2001-02-06,230.58089
403,F0031,2001-02-07,212.66907
404,F0031,2001-02-08,205.59552
405,F0031,2001-02-09,243.10107
406,F0031,2001-02-10,485.814
407,F0031,2001-02-11,654.04596
408,F0031,2001-02-12,559.20776
409,F0031,2001-02-13,432.29752
410,F0031,2001-02-14,343.25842
411,F0031,2001-02-15,287.53012
412,F0031,2001-02-16,247.90651
413,F0031,2001-02-17,219.22375
414,F0031,2001-02-18,198.01901
415,F0031,2001-02-19,181.7132
416,F0031,2001-02-20,168.63278
417,F0031,2001-02-21,157.69737
418,F0031,2001-02-22,148.4365
419,F0031,2001-02-23,140.5701
420,F0031,2001-02-24,133.83063
421,F0031,2001-02-25,127.98791
422,F0031,2001-02-26,122.87087
423,F0031,2001-02-27,118.27809
424,F0031,2001-02-28,114.0373
425,F0031,2001-03-01,110.066315
426,F0031,2001-03-02,106.07146
427,F0031,2001-03-03,102.42031
428,F0031,2001-03-04,99.122284
429,F0031,2001-03-05,95.97734
430,F0031,2001-03-06,92.94604
431,F0031,2001-03-07,90.267715
432,F0031,2001-03-08,90.72378
433,F0031,2001-03-09,155.52061
434,F0031,2001-03-10,332.97427
435,F0031,2001-03-11,385.27496
436,F0031,2001-03-12,327.58414
437,F0031,2001-03-13,259.6182
438,F0031,2001-03-14,206.67482
439,F0031,2001-03-15,168.4995
440,F0031,2001-03-16,141.22978
441,F0031,2001-03-17,121.59814
442,F0031,2001-03-18,107.262985
443,F0031,2001-03-19,96.5517
444,F0031,2001-03-20,88.460464
445,F0031,2001-03-21,82.249985
446,F0031,2001-03-22,77.51327
447,F0031,2001-03-23,73.97859
448,F0031,2001-03-24,71.310394
449,F0031,2001-03-25,69.26463
450,F0031,2001-03-26,69.097565
451,F0031,2001-03-27,73.002396
452,F0031,2001-03-28,83.781204
453,F0031,2001-03-29,120.86639
