,station,time,dis
0,G5173,2000-01-01,3.1849535
1,G5173,2000-01-02,3.021807
2,G5173,2000-01-03,2.8660839
3,G5173,2000-01-04,2.7163475
4,G5173,2000-01-05,2.5717695
5,G5173,2000-01-06,2.4318645
6,G5173,2000-01-07,2.297114
7,G5173,2000-01-08,2.1692767
8,G5173,2000-01-09,2.050359
9,G5173,2000-01-10,1.9414501
10,G5173,2000-01-11,1.8417175
11,G5173,2000-01-12,1.749591
12,G5173,2000-01-13,1.664389
13,G5173,2000-01-14,1.5856893
14,G5173,2000-01-15,1.5117822
15,G5173,2000-01-16,1.4400822
16,G5173,2000-01-17,1.3693259
17,G5173,2000-01-18,1.300567
18,G5173,2000-01-19,1.235686
19,G5173,2000-01-20,1.1756024
20,G5173,2000-01-21,1.1203309
21,G5173,2000-01-22,1.069685
22,G5173,2000-01-23,1.0236877
23,G5173,2000-01-24,0.9828386
24,G5173,2000-01-25,0.9482339
25,G5173,2000-01-26,0.9207091
26,G5173,2000-01-27,0.899489
27,G5173,2000-01-28,0.8821144
28,G5173,2000-01-29,0.8659881
29,G5173,2000-01-30,0.8497175
30,G5173,2000-01-31,0.83291936
31,G5173,2000-02-01,0.81540674
32,G5173,2000-02-02,0.7968386
33,G5173,2000-02-03,0.7769313
34,G5173,2000-02-04,0.755911
35,G5173,2000-02-05,0.7346646
36,G5173,2000-02-06,0.71417046
37,G5173,2000-02-07,0.69481605
38,G5173,2000-02-08,0.67638385
39,G5173,2000-02-09,0.65856713
40,G5173,2000-02-10,0.64155936
41,G5173,2000-02-11,0.62618995
42,G5173,2000-02-12,0.6131803
43,G5173,2000-02-13,0.6023144
44,G5173,2000-02-14,0.59245384
45,G5173,2000-02-15,0.5824398
46,G5173,2000-02-16,0.57192117
47,G5173,2000-02-17,0.56132066
48,G5173,2000-02-18,0.5511415
49,G5173,2000-02-19,0.54145044
50,G5173,2000-02-20,0.531969
51,G5173,2000-02-21,0.5224086
52,G5173,2000-02-22,0.5126219
53,G5173,2000-02-23,0.50256497
54,G5173,2000-02-24,0.4923
55,G5173,2000-02-25,0.48205096
56,G5173,2000-02-26,0.47209474
57,G5173,2000-02-27,0.46249792
58,G5173,2000-02-28,0.4531158
59,G5173,2000-02-29,0.4439357
60,G5173,2000-03-01,0.4353381
61,G5173,2000-03-02,0.42781577
62,G5173,2000-03-03,0.4216344
63,G5173,2000-03-04,0.41683963
64,G5173,2000-03-05,0.4132442
65,G5173,2000-03-06,0.4103219
66,G5173,2000-03-07,0.40734202
67,G5173,2000-03-08,0.4037215
68,G5173,2000-03-09,0.39924216
69,G5173,2000-03-10,0.3940543
70,G5173,2000-03-11,0.3885923
71,G5173,2000-03-12,0.38343537
72,G5173,2000-03-13,0.37906507
73,G5173,2000-03-14,0.37559867
74,G5173,2000-03-15,0.37278274
75,G5173,2000-03-16,0.37019497
76,G5173,2000-03-17,0.36749718
77,G5173,2000-03-18,0.36458284
78,G5173,2000-03-19,0.36155382
79,G5173,2000-03-20,0.35857958
80,G5173,2000-03-21,0.35581195
81,G5173,2000-03-22,0.35333973
82,G5173,2000-03-23,0.3512381
83,G5173,2000-03-24,0.3495586
84,G5173,2000-03-25,0.3483453
85,G5173,2000-03-26,0.3477359
86,G5173,2000-03-27,0.34800833
87,G5173,2000-03-28,0.34938055
88,G5173,2000-03-29,0.35184288
89,G5173,2000-03-30,0.35514066
90,G5173,2000-03-31,0.35892627
91,G5173,2000-04-01,0.36312297
92,G5173,2000-04-02,0.36835843
93,G5173,2000-04-03,0.3763044
94,G5173,2000-04-04,0.38981646
95,G5173,2000-04-05,0.41279307
96,G5173,2000-04-06,0.44893497
97,G5173,2000-04-07,0.49960944
98,G5173,2000-04-08,0.56286156
99,G5173,2000-04-09,0.6352778
100,G5173,2000-04-10,0.7172682
101,G5173,2000-04-11,0.8187601
102,G5173,2000-04-12,0.96702015
103,G5173,2000-04-13,1.2270832
104,G5173,2000-04-14,1.7014196
105,G5173,2000-04-15,2.4151843
106,G5173,2000-04-16,3.2047875
107,G5173,2000-04-17,3.8694472
108,G5173,2000-04-18,4.3808746
109,G5173,2000-04-19,4.872738
110,G5173,2000-04-20,5.4241333
111,G5173,2000-04-21,5.884303
112,G5173,2000-04-22,6.060428
113,G5173,2000-04-23,5.9498777
114,G5173,2000-04-24,5.6960807
115,G5173,2000-04-25,5.492208
116,G5173,2000-04-26,5.549232
117,G5173,2000-04-27,5.972893
118,G5173,2000-04-28,6.6369805
119,G5173,2000-04-29,7.2723436
120,G5173,2000-04-30,7.690356
121,G5173,2000-05-01,7.8678308
122,G5173,2000-05-02,7.865179
123,G5173,2000-05-03,7.7465224
124,G5173,2000-05-04,7.547694
125,G5173,2000-05-05,7.290581
126,G5173,2000-05-06,6.9943905
127,G5173,2000-05-07,6.6773415
128,G5173,2000-05-08,6.3636937
129,G5173,2000-05-09,6.093668
130,G5173,2000-05-10,5.9647064
131,G5173,2000-05-11,6.405081
132,G5173,2000-05-12,9.080836
133,G5173,2000-05-13,15.226202
134,G5173,2000-05-14,20.821583
135,G5173,2000-05-15,23.009281
136,G5173,2000-05-16,22.708517
137,G5173,2000-05-17,21.136454
138,G5173,2000-05-18,19.062809
139,G5173,2000-05-19,16.921644
140,G5173,2000-05-20,14.926725
141,G5173,2000-05-21,13.159932
142,G5173,2000-05-22,11.633398
143,G5173,2000-05-23,10.332025
144,G5173,2000-05-24,9.229467
145,G5173,2000-05-25,8.294104
146,G5173,2000-05-26,7.4945917
147,G5173,2000-05-27,6.8036265
148,G5173,2000-05-28,6.200058
149,G5173,2000-05-29,5.671179
150,G5173,2000-05-30,5.2065926
151,G5173,2000-05-31,4.791711
152,G5173,2000-06-01,4.415582
153,G5173,2000-06-02,4.0737553
154,G5173,2000-06-03,3.7619421
155,G5173,2000-06-04,3.4790413
156,G5173,2000-06-05,3.2247138
157,G5173,2000-06-06,2.9978447
158,G5173,2000-06-07,2.7963395
159,G5173,2000-06-08,2.6171746
160,G5173,2000-06-09,2.45569
161,G5173,2000-06-10,2.309231
162,G5173,2000-06-11,2.1777327
163,G5173,2000-06-12,2.0612853
164,G5173,2000-06-13,1.958612
165,G5173,2000-06-14,1.8663867
166,G5173,2000-06-15,1.7802039
167,G5173,2000-06-16,1.6975752
168,G5173,2000-06-17,1.6184232
169,G5173,2000-06-18,1.5431957
170,G5173,2000-06-19,1.4717194
171,G5173,2000-06-20,1.4032471
172,G5173,2000-06-21,1.3372467
173,G5173,2000-06-22,1.2739965
174,G5173,2000-06-23,1.2139344
175,G5173,2000-06-24,1.1568365
176,G5173,2000-06-25,1.1021483
177,G5173,2000-06-26,1.0498048
178,G5173,2000-06-27,1.0015453
179,G5173,2000-06-28,0.97433734
180,G5173,2000-06-29,1.0289149
181,G5173,2000-06-30,1.1822143
182,G5173,2000-07-01,1.3245152
183,G5173,2000-07-02,1.3708341
184,G5173,2000-07-03,1.332475
185,G5173,2000-07-04,1.2518159
186,G5173,2000-07-05,1.1588833
187,G5173,2000-07-06,1.06839
188,G5173,2000-07-07,0.9864285
189,G5173,2000-07-08,0.9148493
190,G5173,2000-07-09,0.8533002
191,G5173,2000-07-10,0.80047303
192,G5173,2000-07-11,0.7547573
193,G5173,2000-07-12,0.71447337
194,G5173,2000-07-13,0.6780188
195,G5173,2000-07-14,0.64408016
196,G5173,2000-07-15,0.6118559
197,G5173,2000-07-16,0.58109003
198,G5173,2000-07-17,0.55182797
199,G5173,2000-07-18,0.52412444
200,G5173,2000-07-19,0.4979288
201,G5173,2000-07-20,0.47313946
202,G5173,2000-07-21,0.44972828
