,station,time,dis
0,G5305,2000-01-01,0.0002799233
1,G5305,2000-01-02,0.00027464185
2,G5305,2000-01-03,0.00026896942
3,G5305,2000-01-04,0.0002629513
4,G5305,2000-01-05,0.00025653368
5,G5305,2000-01-06,0.00025056425
6,G5305,2000-01-07,0.00024943767
7,G5305,2000-01-08,0.00027618185
8,G5305,2000-01-09,0.00040513894
9,G5305,2000-01-10,0.0007988487
10,G5305,2000-01-11,0.0015205437
11,G5305,2000-01-12,0.0023107924
12,G5305,2000-01-13,0.0028345066
13,G5305,2000-01-14,0.002892376
14,G5305,2000-01-15,0.0026068795
15,G5305,2000-01-16,0.0022204472
16,G5305,2000-01-17,0.0018690074
17,G5305,2000-01-18,0.0015258802
18,G5305,2000-01-19,0.0012415695
19,G5305,2000-01-20,0.0010232915
20,G5305,2000-01-21,0.0008189787
21,G5305,2000-01-22,0.00064280664
22,G5305,2000-01-23,0.00050168636
23,G5305,2000-01-24,0.00040812016
24,G5305,2000-01-25,0.00037878889
25,G5305,2000-01-26,0.00036530677
26,G5305,2000-01-27,0.00032765837
27,G5305,2000-01-28,0.00027527625
28,G5305,2000-01-29,0.00023140342
29,G5305,2000-01-30,0.00020395844
30,G5305,2000-01-31,0.00018958922
31,G5305,2000-02-01,0.00018154805
32,G5305,2000-02-02,0.00017531493
33,G5305,2000-02-03,0.0001696992
34,G5305,2000-02-04,0.00016455002
35,G5305,2000-02-05,0.0001599236
36,G5305,2000-02-06,0.00015597911
37,G5305,2000-02-07,0.00015299825
38,G5305,2000-02-08,0.00015187512
39,G5305,2000-02-09,0.00015282848
40,G5305,2000-02-10,0.00015547856
41,G5305,2000-02-11,0.0001589095
42,G5305,2000-02-12,0.00016215956
43,G5305,2000-02-13,0.00016795508
44,G5305,2000-02-14,0.00018152321
45,G5305,2000-02-15,0.00019284697
46,G5305,2000-02-16,0.00019238735
47,G5305,2000-02-17,0.00018461182
48,G5305,2000-02-18,0.00017844138
49,G5305,2000-02-19,0.00017011362
50,G5305,2000-02-20,0.00015551777
51,G5305,2000-02-21,0.00014023746
52,G5305,2000-02-22,0.0001288331
53,G5305,2000-02-23,0.00012128626
54,G5305,2000-02-24,0.00011615134
55,G5305,2000-02-25,0.00011209118
56,G5305,2000-02-26,0.00010838374
57,G5305,2000-02-27,0.00010548407
58,G5305,2000-02-28,0.00010464566
59,G5305,2000-02-29,0.00010176385
60,G5305,2000-03-01,9.737344e-05
61,G5305,2000-03-02,9.383016e-05
62,G5305,2000-03-03,9.058812e-05
63,G5305,2000-03-04,8.693434e-05
64,G5305,2000-03-05,8.324942e-05
65,G5305,2000-03-06,8.017171e-05
66,G5305,2000-03-07,7.77532e-05
67,G5305,2000-03-08,7.578975e-05
68,G5305,2000-03-09,7.416414e-05
69,G5305,2000-03-10,7.266731e-05
70,G5305,2000-03-11,7.118169e-05
71,G5305,2000-03-12,6.9730624e-05
72,G5305,2000-03-13,6.831091e-05
73,G5305,2000-03-14,6.692092e-05
74,G5305,2000-03-15,6.567322e-05
75,G5305,2000-03-16,6.4458276e-05
76,G5305,2000-03-17,6.325301e-05
77,G5305,2000-03-18,6.2197665e-05
78,G5305,2000-03-19,6.112955e-05
79,G5305,2000-03-20,5.9985414e-05
80,G5305,2000-03-21,5.9129965e-05
81,G5305,2000-03-22,5.9480684e-05
82,G5305,2000-03-23,5.9712485e-05
83,G5305,2000-03-24,5.917376e-05
84,G5305,2000-03-25,5.846104e-05
