,station,time,dis
0,G5210,2000-01-01,57.767323
1,G5210,2000-01-02,59.44721
2,G5210,2000-01-03,61.712353
3,G5210,2000-01-04,61.739674
4,G5210,2000-01-05,59.80823
5,G5210,2000-01-06,57.465477
6,G5210,2000-01-07,54.761696
7,G5210,2000-01-08,51.460796
8,G5210,2000-01-09,48.160625
9,G5210,2000-01-10,45.169586
10,G5210,2000-01-11,42.482525
11,G5210,2000-01-12,39.921875
12,G5210,2000-01-13,37.58201
13,G5210,2000-01-14,35.285107
14,G5210,2000-01-15,33.47966
15,G5210,2000-01-16,31.787811
16,G5210,2000-01-17,30.386656
17,G5210,2000-01-18,29.060856
18,G5210,2000-01-19,27.873451
19,G5210,2000-01-20,26.717289
20,G5210,2000-01-21,25.493038
21,G5210,2000-01-22,24.464104
22,G5210,2000-01-23,23.454025
23,G5210,2000-01-24,22.944103
24,G5210,2000-01-25,22.256836
25,G5210,2000-01-26,21.312176
26,G5210,2000-01-27,20.821074
27,G5210,2000-01-28,20.648264
28,G5210,2000-01-29,20.561646
29,G5210,2000-01-30,20.724438
30,G5210,2000-01-31,20.947426
31,G5210,2000-02-01,21.27883
32,G5210,2000-02-02,22.735344
33,G5210,2000-02-03,23.919544
34,G5210,2000-02-04,24.075348
35,G5210,2000-02-05,23.299608
36,G5210,2000-02-06,22.049866
37,G5210,2000-02-07,20.740604
38,G5210,2000-02-08,19.612133
39,G5210,2000-02-09,18.450468
40,G5210,2000-02-10,17.443098
41,G5210,2000-02-11,16.399868
42,G5210,2000-02-12,15.3944845
43,G5210,2000-02-13,14.560104
44,G5210,2000-02-14,13.916912
45,G5210,2000-02-15,13.4134445
46,G5210,2000-02-16,12.892177
47,G5210,2000-02-17,12.496634
48,G5210,2000-02-18,12.091855
49,G5210,2000-02-19,11.70162
50,G5210,2000-02-20,11.314572
51,G5210,2000-02-21,10.898737
52,G5210,2000-02-22,10.569459
53,G5210,2000-02-23,10.239863
54,G5210,2000-02-24,9.821736
55,G5210,2000-02-25,9.347836
56,G5210,2000-02-26,8.820967
57,G5210,2000-02-27,8.392794
58,G5210,2000-02-28,8.068668
59,G5210,2000-02-29,7.729528
60,G5210,2000-03-01,5.178985
61,G5210,2000-03-02,2.5007255
62,G5210,2000-03-03,1.0963289
63,G5210,2000-03-04,0.37642783
64,G5210,2000-03-05,0.09790995
65,G5210,2000-03-06,0.012401098
66,G5210,2000-03-07,0.000600432
67,G5210,2000-03-08,4.2250056e-05
68,G5210,2000-03-09,1.141332e-05
