,station,time,dis
0,G5197,2000-01-01,0.063569695
1,G5197,2000-01-02,0.054034017
2,G5197,2000-01-03,0.058789242
3,G5197,2000-01-04,0.09583258
4,G5197,2000-01-05,0.17985967
5,G5197,2000-01-06,0.29172623
6,G5197,2000-01-07,0.39071125
7,G5197,2000-01-08,0.4518433
8,G5197,2000-01-09,0.46367696
9,G5197,2000-01-10,0.44301894
10,G5197,2000-01-11,0.4007081
11,G5197,2000-01-12,0.34182888
12,G5197,2000-01-13,0.27427897
13,G5197,2000-01-14,0.20569839
14,G5197,2000-01-15,0.14101036
15,G5197,2000-01-16,0.086849295
16,G5197,2000-01-17,0.049362153
17,G5197,2000-01-18,0.027875181
18,G5197,2000-01-19,0.016135307
19,G5197,2000-01-20,0.009436135
20,G5197,2000-01-21,0.0054427716
21,G5197,2000-01-22,0.0030544233
22,G5197,2000-01-23,0.0016420641
23,G5197,2000-01-24,0.0008299378
24,G5197,2000-01-25,0.00042184533
25,G5197,2000-01-26,0.00022718991
26,G5197,2000-01-27,0.00015260477
27,G5197,2000-01-28,0.00013228605
28,G5197,2000-01-29,0.00012463234
29,G5197,2000-01-30,0.0001187531
30,G5197,2000-01-31,0.00011325834
31,G5197,2000-02-01,0.00010794464
32,G5197,2000-02-02,0.00010278914
33,G5197,2000-02-03,9.7840704e-05
34,G5197,2000-02-04,9.316998e-05
35,G5197,2000-02-05,8.876739e-05
36,G5197,2000-02-06,8.455995e-05
37,G5197,2000-02-07,8.052155e-05
38,G5197,2000-02-08,7.667049e-05
39,G5197,2000-02-09,7.302161e-05
40,G5197,2000-02-10,6.95747e-05
41,G5197,2000-02-11,6.6323424e-05
42,G5197,2000-02-12,6.3260784e-05
43,G5197,2000-02-13,6.0372062e-05
44,G5197,2000-02-14,5.76431e-05
45,G5197,2000-02-15,5.506973e-05
46,G5197,2000-02-16,5.264532e-05
47,G5197,2000-02-17,5.035708e-05
48,G5197,2000-02-18,4.8195983e-05
49,G5197,2000-02-19,4.615159e-05
50,G5197,2000-02-20,4.4214932e-05
51,G5197,2000-02-21,4.237839e-05
52,G5197,2000-02-22,4.0635732e-05
53,G5197,2000-02-23,3.898305e-05
54,G5197,2000-02-24,3.7413854e-05
55,G5197,2000-02-25,3.5920624e-05
56,G5197,2000-02-26,3.4499964e-05
57,G5197,2000-02-27,3.3150118e-05
58,G5197,2000-02-28,3.18745e-05
59,G5197,2000-02-29,3.066289e-05
60,G5197,2000-03-01,2.9506838e-05
61,G5197,2000-03-02,2.8440902e-05
62,G5197,2000-03-03,2.7396345e-05
63,G5197,2000-03-04,2.6357753e-05
64,G5197,2000-03-05,2.5376085e-05
65,G5197,2000-03-06,2.445647e-05
66,G5197,2000-03-07,2.358816e-05
67,G5197,2000-03-08,2.2762617e-05
68,G5197,2000-03-09,2.1975302e-05
69,G5197,2000-03-10,2.1223386e-05
70,G5197,2000-03-11,2.0504627e-05
71,G5197,2000-03-12,1.981703e-05
72,G5197,2000-03-13,1.9166417e-05
73,G5197,2000-03-14,1.8541918e-05
74,G5197,2000-03-15,1.7937857e-05
75,G5197,2000-03-16,1.736039e-05
76,G5197,2000-03-17,1.6807844e-05
77,G5197,2000-03-18,1.6289248e-05
78,G5197,2000-03-19,1.5873171e-05
79,G5197,2000-03-20,1.5462947e-05
80,G5197,2000-03-21,1.5195569e-05
81,G5197,2000-03-22,1.5058648e-05
82,G5197,2000-03-23,1.4768068e-05
83,G5197,2000-03-24,1.4364071e-05
84,G5197,2000-03-25,1.3966195e-05
85,G5197,2000-03-26,1.3578566e-05
86,G5197,2000-03-27,1.3234741e-05
87,G5197,2000-03-28,1.3033247e-05
88,G5197,2000-03-29,1.2955348e-05
89,G5197,2000-03-30,1.2983676e-05
90,G5197,2000-03-31,1.29761465e-05
91,G5197,2000-04-01,1.4040462e-05
92,G5197,2000-04-02,1.5549786e-05
93,G5197,2000-04-03,1.5973452e-05
94,G5197,2000-04-04,1.6075584e-05
95,G5197,2000-04-05,1.6006361e-05
96,G5197,2000-04-06,1.5922727e-05
97,G5197,2000-04-07,1.5745896e-05
98,G5197,2000-04-08,1.6236423e-05
99,G5197,2000-04-09,2.0587611e-05
100,G5197,2000-04-10,2.6061403e-05
101,G5197,2000-04-11,3.0799238e-05
102,G5197,2000-04-12,3.3930555e-05
103,G5197,2000-04-13,3.626755e-05
104,G5197,2000-04-14,3.83147e-05
105,G5197,2000-04-15,4.2307354e-05
106,G5197,2000-04-16,4.46735e-05
107,G5197,2000-04-17,4.3975455e-05
108,G5197,2000-04-18,4.285459e-05
109,G5197,2000-04-19,4.1621453e-05
110,G5197,2000-04-20,4.031777e-05
111,G5197,2000-04-21,3.9000526e-05
112,G5197,2000-04-22,3.7685197e-05
113,G5197,2000-04-23,3.6384332e-05
114,G5197,2000-04-24,3.5107718e-05
115,G5197,2000-04-25,3.3863773e-05
116,G5197,2000-04-26,3.265943e-05
117,G5197,2000-04-27,3.15431e-05
118,G5197,2000-04-28,3.0458365e-05
