,station,time,dis
0,G5208,2000-01-01,0.00010684939
1,G5208,2000-01-02,0.000100244266
2,G5208,2000-01-03,9.4186275e-05
3,G5208,2000-01-04,8.86079e-05
4,G5208,2000-01-05,8.341411e-05
5,G5208,2000-01-06,7.8605284e-05
6,G5208,2000-01-07,7.4276475e-05
7,G5208,2000-01-08,7.021511e-05
8,G5208,2000-01-09,6.635664e-05
9,G5208,2000-01-10,6.275686e-05
10,G5208,2000-01-11,5.940082e-05
11,G5208,2000-01-12,5.629061e-05
12,G5208,2000-01-13,5.3379183e-05
13,G5208,2000-01-14,4.817153e-05
14,G5208,2000-01-15,3.930021e-05
15,G5208,2000-01-16,3.1682728e-05
16,G5208,2000-01-17,2.5388563e-05
17,G5208,2000-01-18,2.0156747e-05
18,G5208,2000-01-19,1.5838747e-05
19,G5208,2000-01-20,1.280378e-05
20,G5208,2000-01-21,1.2206297e-05
21,G5208,2000-01-22,1.1673038e-05
22,G5208,2000-01-23,1.1340452e-05
23,G5208,2000-01-24,1.0932856e-05
24,G5208,2000-01-25,1.0494876e-05
25,G5208,2000-01-26,1.0051028e-05
26,G5208,2000-01-27,9.625506e-06
27,G5208,2000-01-28,9.227748e-06
28,G5208,2000-01-29,8.848551e-06
29,G5208,2000-01-30,8.491747e-06
30,G5208,2000-01-31,8.152413e-06
31,G5208,2000-02-01,7.831798e-06
32,G5208,2000-02-02,7.527091e-06
33,G5208,2000-02-03,7.2384073e-06
34,G5208,2000-02-04,6.9639823e-06
35,G5208,2000-02-05,6.703469e-06
36,G5208,2000-02-06,6.455664e-06
37,G5208,2000-02-07,6.220052e-06
38,G5208,2000-02-08,5.9957356e-06
39,G5208,2000-02-09,5.7821667e-06
40,G5208,2000-02-10,5.57864e-06
41,G5208,2000-02-11,5.384635e-06
42,G5208,2000-02-12,5.1995676e-06
43,G5208,2000-02-13,5.0229582e-06
44,G5208,2000-02-14,4.854321e-06
45,G5208,2000-02-15,4.693226e-06
46,G5208,2000-02-16,4.5392508e-06
47,G5208,2000-02-17,4.3920136e-06
48,G5208,2000-02-18,4.2511497e-06
49,G5208,2000-02-19,4.1163244e-06
50,G5208,2000-02-20,3.987219e-06
51,G5208,2000-02-21,3.8635294e-06
52,G5208,2000-02-22,3.744982e-06
53,G5208,2000-02-23,3.6313133e-06
54,G5208,2000-02-24,3.522271e-06
55,G5208,2000-02-25,3.4176292e-06
56,G5208,2000-02-26,3.317164e-06
57,G5208,2000-02-27,3.2206704e-06
58,G5208,2000-02-28,3.1284665e-06
59,G5208,2000-02-29,3.039346e-06
60,G5208,2000-03-01,2.9536322e-06
61,G5208,2000-03-02,2.8711913e-06
62,G5208,2000-03-03,2.791849e-06
63,G5208,2000-03-04,2.7154722e-06
64,G5208,2000-03-05,2.6419168e-06
65,G5208,2000-03-06,2.5710578e-06
66,G5208,2000-03-07,2.5027678e-06
67,G5208,2000-03-08,2.4369344e-06
68,G5208,2000-03-09,2.3734467e-06
69,G5208,2000-03-10,2.3121997e-06
70,G5208,2000-03-11,2.2530967e-06
71,G5208,2000-03-12,2.1960427e-06
72,G5208,2000-03-13,2.141683e-06
73,G5208,2000-03-14,2.0884668e-06
74,G5208,2000-03-15,2.0370271e-06
75,G5208,2000-03-16,1.9876081e-06
76,G5208,2000-03-17,1.9395436e-06
77,G5208,2000-03-18,1.8930587e-06
78,G5208,2000-03-19,1.8480962e-06
79,G5208,2000-03-20,1.8045844e-06
80,G5208,2000-03-21,1.7778896e-06
81,G5208,2000-03-22,1.7406527e-06
82,G5208,2000-03-23,1.7004023e-06
83,G5208,2000-03-24,1.6616135e-06
84,G5208,2000-03-25,1.6238964e-06
85,G5208,2000-03-26,1.5910098e-06
86,G5208,2000-03-27,1.5733531e-06
87,G5208,2000-03-28,1.5456226e-06
88,G5208,2000-03-29,1.5114001e-06
89,G5208,2000-03-30,1.5195704e-06
90,G5208,2000-03-31,1.5812037e-06
91,G5208,2000-04-01,1.8660154e-06
92,G5208,2000-04-02,1.8884045e-06
93,G5208,2000-04-03,1.8398567e-06
94,G5208,2000-04-04,1.808617e-06
95,G5208,2000-04-05,1.7837776e-06
96,G5208,2000-04-06,1.7729153e-06
