,station,time,dis
0,G5326,2000-01-01,140.15927
1,G5326,2000-01-02,143.6174
2,G5326,2000-01-03,149.40892
3,G5326,2000-01-04,152.3714
4,G5326,2000-01-05,154.36452
5,G5326,2000-01-06,155.76689
6,G5326,2000-01-07,156.1043
7,G5326,2000-01-08,155.02585
8,G5326,2000-01-09,153.19101
9,G5326,2000-01-10,150.78491
10,G5326,2000-01-11,147.98317
11,G5326,2000-01-12,145.3579
12,G5326,2000-01-13,142.67009
13,G5326,2000-01-14,139.85695
14,G5326,2000-01-15,137.33278
15,G5326,2000-01-16,135.25081
16,G5326,2000-01-17,133.23283
17,G5326,2000-01-18,131.46103
18,G5326,2000-01-19,130.02843
19,G5326,2000-01-20,128.54385
20,G5326,2000-01-21,127.03832
21,G5326,2000-01-22,125.49948
22,G5326,2000-01-23,123.97139
23,G5326,2000-01-24,123.059006
24,G5326,2000-01-25,122.26096
25,G5326,2000-01-26,120.95512
26,G5326,2000-01-27,119.237175
27,G5326,2000-01-28,117.54052
28,G5326,2000-01-29,116.06088
29,G5326,2000-01-30,114.840096
30,G5326,2000-01-31,113.694336
31,G5326,2000-02-01,112.93437
32,G5326,2000-02-02,114.13465
33,G5326,2000-02-03,115.81286
34,G5326,2000-02-04,116.50181
35,G5326,2000-02-05,116.417465
36,G5326,2000-02-06,115.73337
37,G5326,2000-02-07,114.64632
38,G5326,2000-02-08,113.266136
39,G5326,2000-02-09,111.70672
40,G5326,2000-02-10,110.084305
41,G5326,2000-02-11,108.476685
42,G5326,2000-02-12,106.92763
43,G5326,2000-02-13,105.48714
44,G5326,2000-02-14,104.11408
45,G5326,2000-02-15,102.73851
46,G5326,2000-02-16,101.377174
47,G5326,2000-02-17,100.06137
48,G5326,2000-02-18,98.77448
49,G5326,2000-02-19,97.48407
50,G5326,2000-02-20,96.20865
51,G5326,2000-02-21,94.977875
52,G5326,2000-02-22,93.7794
53,G5326,2000-02-23,92.59658
54,G5326,2000-02-24,91.44397
55,G5326,2000-02-25,90.32737
56,G5326,2000-02-26,89.26249
57,G5326,2000-02-27,88.299164
58,G5326,2000-02-28,87.320045
59,G5326,2000-02-29,86.1901
60,G5326,2000-03-01,81.47744
61,G5326,2000-03-02,76.00523
62,G5326,2000-03-03,71.9991
63,G5326,2000-03-04,68.24214
64,G5326,2000-03-05,65.453476
65,G5326,2000-03-06,63.410976
66,G5326,2000-03-07,61.29259
67,G5326,2000-03-08,63.548107
68,G5326,2000-03-09,93.28384
69,G5326,2000-03-10,167.27376
70,G5326,2000-03-11,215.26593
71,G5326,2000-03-12,210.86224
72,G5326,2000-03-13,185.27481
73,G5326,2000-03-14,157.39809
74,G5326,2000-03-15,133.26514
75,G5326,2000-03-16,113.914085
76,G5326,2000-03-17,98.90409
77,G5326,2000-03-18,87.18358
78,G5326,2000-03-19,78.08083
79,G5326,2000-03-20,71.00812
80,G5326,2000-03-21,65.79592
81,G5326,2000-03-22,62.04382
82,G5326,2000-03-23,58.881603
83,G5326,2000-03-24,56.041954
84,G5326,2000-03-25,53.614548
85,G5326,2000-03-26,52.21483
86,G5326,2000-03-27,51.30567
87,G5326,2000-03-28,50.12235
88,G5326,2000-03-29,48.782993
89,G5326,2000-03-30,47.69006
90,G5326,2000-03-31,47.17965
91,G5326,2000-04-01,42.33948
92,G5326,2000-04-02,34.83716
93,G5326,2000-04-03,29.681393
94,G5326,2000-04-04,26.135473
95,G5326,2000-04-05,22.169933
96,G5326,2000-04-06,18.27988
97,G5326,2000-04-07,15.06786
98,G5326,2000-04-08,12.280328
99,G5326,2000-04-09,10.66756
100,G5326,2000-04-10,10.202255
101,G5326,2000-04-11,10.937975
102,G5326,2000-04-12,11.721703
103,G5326,2000-04-13,14.993215
104,G5326,2000-04-14,42.300858
105,G5326,2000-04-15,108.54545
106,G5326,2000-04-16,143.97781
107,G5326,2000-04-17,138.39552
108,G5326,2000-04-18,118.04757
109,G5326,2000-04-19,96.9507
110,G5326,2000-04-20,80.11433
111,G5326,2000-04-21,65.36329
112,G5326,2000-04-22,52.84787
113,G5326,2000-04-23,42.69164
114,G5326,2000-04-24,34.676308
115,G5326,2000-04-25,27.75069
116,G5326,2000-04-26,22.832659
117,G5326,2000-04-27,19.95826
118,G5326,2000-04-28,17.177862
119,G5326,2000-04-29,15.029549
120,G5326,2000-04-30,13.43999
121,G5326,2000-05-01,12.770128
122,G5326,2000-05-02,13.420567
123,G5326,2000-05-03,14.6687355
124,G5326,2000-05-04,17.186216
125,G5326,2000-05-05,20.93608
126,G5326,2000-05-06,24.501747
127,G5326,2000-05-07,28.028465
128,G5326,2000-05-08,31.762222
129,G5326,2000-05-09,38.4402
130,G5326,2000-05-10,47.321888
131,G5326,2000-05-11,51.574966
132,G5326,2000-05-12,53.06807
133,G5326,2000-05-13,52.4728
134,G5326,2000-05-14,50.38632
135,G5326,2000-05-15,48.858685
136,G5326,2000-05-16,50.22145
137,G5326,2000-05-17,52.619633
138,G5326,2000-05-18,53.423294
139,G5326,2000-05-19,53.460487
140,G5326,2000-05-20,53.471275
141,G5326,2000-05-21,54.504597
142,G5326,2000-05-22,55.290142
143,G5326,2000-05-23,55.187332
144,G5326,2000-05-24,54.36427
145,G5326,2000-05-25,53.556328
146,G5326,2000-05-26,52.1962
147,G5326,2000-05-27,50.329628
148,G5326,2000-05-28,47.902798
149,G5326,2000-05-29,45.29641
150,G5326,2000-05-30,42.047573
151,G5326,2000-05-31,38.360996
152,G5326,2000-06-01,39.001995
153,G5326,2000-06-02,42.188488
154,G5326,2000-06-03,43.861305
155,G5326,2000-06-04,45.97647
156,G5326,2000-06-05,50.50917
157,G5326,2000-06-06,56.741127
158,G5326,2000-06-07,63.06043
159,G5326,2000-06-08,67.93765
160,G5326,2000-06-09,69.72011
161,G5326,2000-06-10,68.38709
162,G5326,2000-06-11,65.46965
163,G5326,2000-06-12,62.35429
164,G5326,2000-06-13,58.95174
165,G5326,2000-06-14,55.564453
166,G5326,2000-06-15,52.75034
167,G5326,2000-06-16,50.44308
168,G5326,2000-06-17,48.98108
169,G5326,2000-06-18,48.148315
170,G5326,2000-06-19,48.106808
171,G5326,2000-06-20,49.55404
172,G5326,2000-06-21,52.310383
173,G5326,2000-06-22,55.895737
174,G5326,2000-06-23,59.574127
175,G5326,2000-06-24,61.857227
176,G5326,2000-06-25,61.95228
177,G5326,2000-06-26,60.58507
178,G5326,2000-06-27,58.45669
179,G5326,2000-06-28,55.98313
180,G5326,2000-06-29,53.509037
181,G5326,2000-06-30,51.306107
182,G5326,2000-07-01,50.381176
183,G5326,2000-07-02,50.41914
184,G5326,2000-07-03,51.030685
185,G5326,2000-07-04,52.89795
186,G5326,2000-07-05,56.206493
187,G5326,2000-07-06,61.060486
188,G5326,2000-07-07,66.70958
189,G5326,2000-07-08,71.46538
190,G5326,2000-07-09,74.00845
191,G5326,2000-07-10,73.82083
192,G5326,2000-07-11,71.53554
193,G5326,2000-07-12,68.415695
194,G5326,2000-07-13,65.32375
195,G5326,2000-07-14,62.400806
196,G5326,2000-07-15,60.138878
197,G5326,2000-07-16,58.655983
198,G5326,2000-07-17,57.21813
199,G5326,2000-07-18,55.64398
200,G5326,2000-07-19,54.372425
201,G5326,2000-07-20,53.69257
202,G5326,2000-07-21,53.455265
203,G5326,2000-07-22,53.22644
204,G5326,2000-07-23,52.96142
205,G5326,2000-07-24,52.752785
206,G5326,2000-07-25,52.94208
207,G5326,2000-07-26,53.423306
208,G5326,2000-07-27,53.598866
209,G5326,2000-07-28,53.371464
210,G5326,2000-07-29,53.204597
211,G5326,2000-07-30,53.36214
212,G5326,2000-07-31,53.4635
213,G5326,2000-08-01,53.444332
214,G5326,2000-08-02,53.73952
215,G5326,2000-08-03,54.046326
216,G5326,2000-08-04,54.200436
217,G5326,2000-08-05,54.19983
218,G5326,2000-08-06,54.494995
219,G5326,2000-08-07,54.137474
220,G5326,2000-08-08,53.017986
221,G5326,2000-08-09,52.153305
222,G5326,2000-08-10,51.830696
223,G5326,2000-08-11,51.37802
224,G5326,2000-08-12,50.81331
225,G5326,2000-08-13,50.08063
226,G5326,2000-08-14,49.327045
227,G5326,2000-08-15,48.358185
228,G5326,2000-08-16,47.23567
229,G5326,2000-08-17,46.55284
230,G5326,2000-08-18,46.871384
231,G5326,2000-08-19,48.311596
232,G5326,2000-08-20,51.222767
233,G5326,2000-08-21,55.35337
234,G5326,2000-08-22,59.848225
235,G5326,2000-08-23,63.48256
236,G5326,2000-08-24,66.07633
237,G5326,2000-08-25,67.56963
238,G5326,2000-08-26,67.37441
239,G5326,2000-08-27,66.2922
240,G5326,2000-08-28,64.941864
241,G5326,2000-08-29,63.608055
242,G5326,2000-08-30,62.47041
243,G5326,2000-08-31,61.24221
244,G5326,2000-09-01,60.003117
245,G5326,2000-09-02,58.29619
246,G5326,2000-09-03,56.388725
247,G5326,2000-09-04,54.840836
248,G5326,2000-09-05,53.715435
249,G5326,2000-09-06,53.100273
250,G5326,2000-09-07,52.851837
251,G5326,2000-09-08,52.855934
252,G5326,2000-09-09,52.730564
253,G5326,2000-09-10,52.242184
254,G5326,2000-09-11,51.659847
255,G5326,2000-09-12,50.726925
256,G5326,2000-09-13,49.36858
257,G5326,2000-09-14,48.793667
258,G5326,2000-09-15,48.52474
259,G5326,2000-09-16,47.200485
260,G5326,2000-09-17,45.518604
261,G5326,2000-09-18,44.349678
262,G5326,2000-09-19,43.70438
263,G5326,2000-09-20,43.393467
264,G5326,2000-09-21,43.33636
265,G5326,2000-09-22,43.280003
266,G5326,2000-09-23,42.704025
267,G5326,2000-09-24,41.564297
268,G5326,2000-09-25,40.30269
269,G5326,2000-09-26,38.8407
270,G5326,2000-09-27,37.41007
271,G5326,2000-09-28,36.084618
272,G5326,2000-09-29,34.875526
273,G5326,2000-09-30,34.067738
274,G5326,2000-10-01,30.714552
275,G5326,2000-10-02,26.707588
276,G5326,2000-10-03,24.91795
277,G5326,2000-10-04,24.405678
278,G5326,2000-10-05,23.648687
279,G5326,2000-10-06,24.066229
280,G5326,2000-10-07,25.098274
281,G5326,2000-10-08,25.734865
282,G5326,2000-10-09,26.4762
283,G5326,2000-10-10,27.019447
284,G5326,2000-10-11,25.314302
285,G5326,2000-10-12,21.998629
286,G5326,2000-10-13,20.823362
287,G5326,2000-10-14,19.373848
288,G5326,2000-10-15,16.90318
289,G5326,2000-10-16,15.22416
290,G5326,2000-10-17,15.365741
291,G5326,2000-10-18,15.196499
292,G5326,2000-10-19,13.19478
293,G5326,2000-10-20,11.579433
294,G5326,2000-10-21,10.862685
295,G5326,2000-10-22,10.119754
296,G5326,2000-10-23,9.323107
297,G5326,2000-10-24,8.774237
298,G5326,2000-10-25,8.747386
299,G5326,2000-10-26,8.847373
300,G5326,2000-10-27,9.154181
301,G5326,2000-10-28,11.495029
302,G5326,2000-10-29,23.065992
303,G5326,2000-10-30,48.200317
304,G5326,2000-10-31,68.459145
305,G5326,2000-11-01,69.06666
306,G5326,2000-11-02,56.601994
307,G5326,2000-11-03,42.625145
308,G5326,2000-11-04,30.102974
309,G5326,2000-11-05,20.285744
310,G5326,2000-11-06,12.976137
311,G5326,2000-11-07,7.0493736
312,G5326,2000-11-08,2.5647006
313,G5326,2000-11-09,0.53757596
314,G5326,2000-11-10,0.08745546
315,G5326,2000-11-11,0.02886038
316,G5326,2000-11-12,0.031282444
317,G5326,2000-11-13,0.26619968
318,G5326,2000-11-14,1.5892917
319,G5326,2000-11-15,3.8654768
320,G5326,2000-11-16,6.4182367
321,G5326,2000-11-17,7.348121
322,G5326,2000-11-18,6.3938923
323,G5326,2000-11-19,4.3440113
324,G5326,2000-11-20,1.988613
325,G5326,2000-11-21,0.80151826
326,G5326,2000-11-22,1.0578165
327,G5326,2000-11-23,8.776122
328,G5326,2000-11-24,34.316772
329,G5326,2000-11-25,56.076324
330,G5326,2000-11-26,60.040375
331,G5326,2000-11-27,57.22918
332,G5326,2000-11-28,53.215073
333,G5326,2000-11-29,50.295288
334,G5326,2000-11-30,51.547504
335,G5326,2000-12-01,61.78769
336,G5326,2000-12-02,72.687
337,G5326,2000-12-03,76.845474
338,G5326,2000-12-04,76.4508
339,G5326,2000-12-05,75.32041
340,G5326,2000-12-06,75.17695
341,G5326,2000-12-07,76.784355
342,G5326,2000-12-08,79.925545
343,G5326,2000-12-09,84.11895
344,G5326,2000-12-10,88.45186
345,G5326,2000-12-11,93.19488
346,G5326,2000-12-12,93.52247
347,G5326,2000-12-13,90.31086
348,G5326,2000-12-14,85.62102
349,G5326,2000-12-15,79.379654
350,G5326,2000-12-16,73.06226
351,G5326,2000-12-17,66.55669
352,G5326,2000-12-18,61.091164
353,G5326,2000-12-19,57.28598
354,G5326,2000-12-20,55.783344
355,G5326,2000-12-21,56.790913
356,G5326,2000-12-22,59.59925
357,G5326,2000-12-23,62.421967
358,G5326,2000-12-24,65.46555
359,G5326,2000-12-25,68.7551
360,G5326,2000-12-26,72.14339
361,G5326,2000-12-27,75.51323
362,G5326,2000-12-28,78.55166
363,G5326,2000-12-29,81.15434
364,G5326,2000-12-30,82.28051
365,G5326,2000-12-31,81.43115
366,G5326,2001-01-01,79.21222
367,G5326,2001-01-02,82.26823
